Year,Month,Day,Estimated DGSR
1990,10,19,14.48822108
1990,10,20,17.90625994
1990,10,21,12.34874642
1990,10,22,11.20054203
1990,10,23,13.21079341
1990,10,24,16.78389856
1990,10,25,11.38056988
1990,10,26,10.28980216
1990,10,27,16.59114701
1990,10,28,20.40592419
1990,10,29,15.01029347
1990,10,30,20.42710669
1990,10,31,10.93060574
1990,11,1,12.22505938
1990,11,2,20.17199194
1990,11,3,23.22507699
1990,11,4,23.72114851
1990,11,5,23.86644443
1990,11,6,23.96538655
1990,11,7,24.05884021
1990,11,8,24.92207131
1990,11,9,25.21938791
1990,11,10,24.32007285
1990,11,11,21.75785629
1990,11,12,19.57230236
1990,11,13,19.33193001
1990,11,14,18.0442944
1990,11,15,14.29012469
1990,11,16,19.03609873
1990,11,17,20.73521591
1990,11,18,15.48427497
1990,11,19,29.66798222
1990,11,20,28.73517922
1990,11,21,29.08242987
1990,11,22,27.89874784
1990,11,23,24.80516805
1990,11,24,28.96965404
1990,11,25,27.67167295
1990,11,26,27.43596998
1990,11,27,28.75650651
1990,11,28,29.78694218
1990,11,29,28.03437838
1990,11,30,25.8424685
1990,12,1,29.02941613
1990,12,2,24.13414445
1990,12,3,23.71139806
1990,12,4,26.05110665
1990,12,5,29.78426592
1990,12,6,23.84798523
1990,12,7,25.99929322
1990,12,8,21.85344771
1990,12,9,25.17995812
1990,12,10,24.26389712
1990,12,11,21.14155751
1990,12,12,15.72532371
1990,12,13,17.82810423
1990,12,14,24.25392946
1990,12,15,18.53342142
1990,12,16,20.0882959
1990,12,17,25.08241316
1990,12,18,32.55114563
1990,12,19,32.35593624
1990,12,20,32.21086884
1990,12,21,31.11935308
1990,12,22,18.7272195
1990,12,23,31.72472794
1990,12,24,23.34174954
1990,12,25,32.38966826
1990,12,26,31.30130474
1990,12,27,29.63231936
1990,12,28,31.79811372
1990,12,29,31.93936251
1990,12,30,31.99232762
1990,12,31,32.56187655
1991,1,1,31.42847387
1991,1,2,26.81038759
1991,1,3,14.03445082
1991,1,4,20.58262771
1991,1,5,20.30488311
1991,1,6,19.77611231
1991,1,7,17.18004636
1991,1,8,32.93884001
1991,1,9,22.75278599
1991,1,10,16.07059512
1991,1,11,24.85593727
1991,1,12,30.74082088
1991,1,13,24.20606922
1991,1,14,30.081166
1991,1,15,29.19712514
1991,1,16,29.72286048
1991,1,17,27.56262744
1991,1,18,29.23967694
1991,1,19,28.36079952
1991,1,20,19.75974419
1991,1,21,24.40570355
1991,1,22,23.166149
1991,1,23,23.06607707
1991,1,24,19.38725773
1991,1,25,23.76392205
1991,1,26,23.14397039
1991,1,27,25.90630781
1991,1,28,27.31702904
1991,1,29,23.87729497
1991,1,30,24.4734481
1991,1,31,23.57115425
1991,2,1,11.20436951
1991,2,2,7.27763927
1991,2,3,14.34045941
1991,2,4,22.86787791
1991,2,5,22.9557226
1991,2,6,24.44350055
1991,2,7,12.26773066
1991,2,8,8.88803006
1991,2,9,7.940216361
1991,2,10,8.55164357
1991,2,11,21.76006683
1991,2,12,18.78499378
1991,2,13,18.29665001
1991,2,14,9.94614712
1991,2,15,24.05485941
1991,2,16,19.29625924
1991,2,17,22.22071372
1991,2,18,22.69536947
1991,2,19,18.46071532
1991,2,20,17.78642419
1991,2,21,3.86855428
1991,2,22,5.431857469
